item_id,timestamp,target,volume_demand,volume_production,price_lag_1d,price_lag_7d,price_lag_30d,month_sin,month_cos,Fill_Level,Avg_Temp,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,is_weekend_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2017,year_2018,season_Spring,season_Summer,season_Winter
13,2016-02-11,19.422083333333333,1.313708123540785,1.581709314215098,-1.3634135963127276,-1.4135210188134442,-0.0811297320005282,0.4999999999999999,0.8660254037844387,0.41457138540100497,-0.7008869979417361,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2016-02-12,21.854166666666668,1.5999939592307821,1.922609526948783,-1.2848955107952027,-1.1328818581621147,-0.11835897055423215,0.4999999999999999,0.8660254037844387,0.38616767877156666,-0.7008869979417361,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2016-02-13,18.582916666666662,1.3848778180587467,1.3916942277786,-1.0151426766776082,-1.6795009766984559,0.00010225885991329246,0.4999999999999999,0.8660254037844387,0.3577639721421291,-0.7008869979417361,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2016-02-14,17.431250000000002,1.3460788555634713,0.811318658992326,-1.377971098924865,-1.8157563870264073,0.47720849795314124,0.4999999999999999,0.8660254037844387,0.3293602655126908,-0.7008869979417361,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2016-02-15,20.992083333333333,1.9276615285880787,1.8296367416577781,-1.5057074075596135,-1.7786385338681034,-0.31243268312260036,0.4999999999999999,0.8660254037844387,0.30095655888325323,-0.7008869979417361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,2016-02-16,24.894166666666667,1.8692909001003626,2.0495210310006184,-1.110760050977643,-1.5491656290261322,-0.4433371081719469,0.4999999999999999,0.8660254037844387,0.2680808052690433,-0.7008869979417361,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2016-02-17,18.597916666666663,1.5796187644292683,1.5145883892561323,-0.6779631876041168,-1.3622138091313325,0.9328401897404599,0.4999999999999999,0.8660254037844387,0.23520505165483338,-0.7008869979417361,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,2016-02-18,23.121666666666663,1.6687530673215236,1.9923652025571306,-1.3763073843406206,-1.2823869325288533,1.8740073821803362,0.4999999999999999,0.8660254037844387,0.20232929804062344,-0.7008869979417361,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2016-02-19,20.669166666666666,1.4794646378697167,1.779315612918623,-0.8745587943089737,-1.0081376807756621,2.2391750347327086,0.4999999999999999,0.8660254037844387,0.1694535444264135,-0.7008869979417361,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2016-02-20,16.277083333333334,1.0895235858092034,0.00012849866429737655,-1.1465761288329002,-1.3770139657704037,2.5795566443665776,0.4999999999999999,0.8660254037844387,0.13657779081220356,-0.7008869979417361,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,2016-02-21,16.141666666666666,0.9728397237487043,-0.0506361029564364,-1.6337210019584036,-1.5068794672002161,-0.3001901841911931,0.4999999999999999,0.8660254037844387,0.10370203719799362,-0.7008869979417361,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2016-02-22,18.700833333333332,1.3700125350908827,1.0644112411733953,-1.6487406475106083,-1.1053488683510182,-0.7652546210568084,0.4999999999999999,0.8660254037844387,0.07082628358378369,-0.7008869979417361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2016-02-23,19.7775,1.313019384561579,1.283669451154006,-1.364892453720945,-0.6653378622402363,-0.9640948803402731,0.4999999999999999,0.8660254037844387,0.03729779090618658,-0.7008869979417361,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2016-02-24,20.064583333333335,1.328229037019046,1.337355756465142,-1.2454747180074166,-1.375322519297367,-0.7402678814345109,0.4999999999999999,0.8660254037844387,0.003769298228588732,-0.7008869979417361,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2016-02-25,23.633750000000003,1.4201756907430587,1.7649157875873562,-1.2136330694367425,-0.8652104538040666,-1.4570561590331925,0.4999999999999999,0.8660254037844387,-0.029759194449008375,-0.7008869979417361,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,2016-02-26,22.074583333333333,1.3585335521041138,1.828906315735178,-0.8177614269746362,-1.141761952145557,-1.6262936545071076,0.4999999999999999,0.8660254037844387,-0.06328768712660622,-0.7008869979417361,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2016-02-27,19.513333333333332,1.1183932280209248,1.4890495686052079,-0.9906953151480199,-1.6370268763755358,-1.610488789083365,0.4999999999999999,0.8660254037844387,-0.09681617980420333,-0.7008869979417361,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,2016-02-28,18.90875,0.9832855982666642,0.9258911822802312,-1.2747745804077173,-1.6522968792571167,-1.6894127678501807,0.4999999999999999,0.8660254037844387,-0.13034467248180118,-0.7008869979417361,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2016-02-29,22.15625,1.600567908380121,1.822541175552517,-1.3418315210115597,-1.3637173171073653,-1.7893597263393708,0.4999999999999999,0.8660254037844387,-0.1638731651593983,-0.7008869979417361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2016-03-01,19.887916666666666,1.7434812465653842,1.661430086338923,-0.9816373135226902,-1.2423090480427352,-1.6478183759889666,0.8660254037844386,0.5000000000000001,-0.20085575099737824,-0.7008869979417361,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2016-03-02,21.945833333333336,1.6601438300814475,1.6329173887174115,-1.233227930095619,-1.2099366419337836,-1.3992053341647002,0.8660254037844386,0.5000000000000001,-0.23783833683535893,-0.7008869979417361,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2016-03-03,22.42833333333333,1.5803075034084744,1.8298715214186139,-1.0049755319961156,-0.807466350599565,-1.5953863621229,0.8660254037844386,0.5000000000000001,-0.27482092267333885,-0.7008869979417361,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2016-03-04,22.182083333333335,1.3299508844670611,1.65477799311524,-0.951459379536261,-0.9832828145468739,-1.4960414937450905,0.8660254037844386,0.5000000000000001,-0.3118035085113188,-0.7008869979417361,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2016-03-05,20.107083333333332,0.97800526609275,0.9944207858042126,-0.9787720272942696,-1.2720972998178806,-1.4384917139322888,0.8660254037844386,0.5000000000000001,-0.34878609434929875,-0.7008869979417361,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2016-03-06,19.786666666666665,0.8699306412723283,0.8533703228220394,-1.2089192114480511,-1.340271989606107,-1.138801360992563,0.8660254037844386,0.5000000000000001,-0.38576868018727944,-0.7008869979417361,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2016-03-07,23.210416666666664,1.2551653103082676,1.789332882714287,-1.2444580035392674,-0.9740738281936744,-1.722527723976117,0.8660254037844386,0.5000000000000001,-0.4227512660252594,-1.969328943777541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,2016-03-08,24.544583333333335,1.2423088493630865,1.8378018600068486,-0.8647151496855288,-1.2298581226162155,-1.8680328342264445,0.8660254037844386,0.5000000000000001,-0.44935470643139386,-1.969328943777541,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2016-03-09,22.483333333333334,1.2512624560927657,1.6599692344937218,-0.7167369802758078,-0.9978010634404381,-1.8283952352272175,0.8660254037844386,0.5000000000000001,-0.4759581468375283,-1.969328943777541,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2016-03-10,23.202916666666667,1.1865209920473934,1.7089599445881403,-0.9453590927273653,-0.9433928685577601,-1.5833445598952867,0.8660254037844386,0.5000000000000001,-0.5025615872436627,-1.969328943777541,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2016-03-11,24.56125,1.2805338627090244,1.8638624134596302,-0.8655470069776504,-0.9711607814901111,-1.383701513796648,0.8660254037844386,0.5000000000000001,-0.5291650276497964,-1.969328943777541,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2016-03-12,22.781666666666663,0.9249723646938812,1.6772907635153913,-0.7148884085155366,-1.2051442102601801,-1.2984555888603357,0.8660254037844386,0.5000000000000001,-0.5557684680559309,-0.4471986087745752,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2016-03-13,21.829166666666666,0.6098742817070957,0.8727526964110457,-0.9122696582185089,-1.241275386309213,-1.0055889238495905,0.8660254037844386,0.5000000000000001,-0.5823719084620654,-0.4471986087745752,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2016-03-14,22.36,0.8024916162250659,1.3967289493165245,-1.0179155343180153,-0.8552027288385997,-1.3995063792203912,0.8660254037844386,0.5000000000000001,-0.6089753488681999,-0.4471986087745752,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2016-03-15,22.139166666666668,0.5429518108942379,1.3973811153188465,-0.9590385237533733,-0.70475796198684,-1.5381878015417367,0.8660254037844386,0.5000000000000001,-0.6307611776996922,-0.4471986087745752,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2016-03-16,21.84125,0.5651062480587,1.2875563605278442,-0.9835320995769683,-0.9371908981566253,-1.109399293886807,0.8660254037844386,0.5000000000000001,-0.6525470065311838,-0.4471986087745752,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2016-03-17,22.141666666666666,0.6918342202326202,1.3064952612352712,-1.0165753197918186,-0.8560484520751176,-0.6395181361301464,0.8660254037844386,0.5000000000000001,-0.6743328353626762,-0.5740428033581556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2016-03-18,21.792916666666667,0.5660819616125761,1.3323992948474956,-0.9832548138129278,-0.7028785770167995,-1.397700108886249,0.8660254037844386,0.5000000000000001,-0.6961186641941678,-0.5740428033581556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2016-03-19,21.410416666666663,0.26188891246321955,0.7049895139737687,-1.0219361778966054,-0.9035499071928971,-0.8529590806145926,0.8660254037844386,0.5000000000000001,-0.7179044930256602,-0.5740428033581556,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2016-03-20,20.387916666666666,0.14641034361633248,0.33675050242275134,-1.0643608997948328,-1.0109567582307235,-1.1482842802468083,0.8660254037844386,0.5000000000000001,-0.7396903218571518,-0.5740428033581556,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2016-03-21,21.4625,0.47912866548780747,1.0173770290859423,-1.177770777287479,-0.9510983469349268,-1.6771702689187737,0.8660254037844386,0.5000000000000001,-0.761476150688644,-0.5740428033581556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2016-03-22,21.535833333333333,0.46236935032712556,1.0722633198413503,-1.0585841130439848,-0.976000197787966,-1.6934768761020003,0.8660254037844386,0.5000000000000001,-0.7800384947713714,-0.5740428033581556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2016-03-23,21.516666666666666,0.37220193896606224,1.2318092106493717,-1.0504503972987909,-1.009594204127444,-1.3853070874269968,0.8660254037844386,0.5000000000000001,-0.7986008388540987,-0.5740428033581556,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2016-03-24,21.13416666666667,0.4685106062250461,0.9457170287508155,-1.0525762548231028,-0.9757182900424601,-1.25565701677636,0.8660254037844386,0.5000000000000001,-0.817163182936826,-0.5740428033581556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,2016-03-25,20.520416666666662,0.12368195730253156,0.5181048243484151,-1.0950009767213296,-1.015044420540562,-1.22108700954792,0.8660254037844386,0.5000000000000001,-0.8357255270195533,-0.5740428033581556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2016-03-26,19.345833333333335,0.17631309429686307,-0.043123150609688514,-1.1630746317933223,-1.0581763056029967,-0.791295018374022,0.8660254037844386,0.5000000000000001,-0.8542878711022807,-0.5740428033581556,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,2016-03-27,17.055,-0.03662204010768551,-0.9423557212511688,-1.293352726598444,-1.1734765735149941,-0.9790467847728931,0.8660254037844386,0.5000000000000001,-0.8728502151850079,-0.5740428033581556,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2016-03-28,17.259583333333335,0.16948309941973644,-0.7648361354191571,-1.547438915047739,-1.0523032275716193,-1.2874674443276388,0.8660254037844386,0.5000000000000001,-0.8914125592677352,-0.5740428033581556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2016-03-29,19.985416666666666,0.5674594395709883,0.45523602172458777,-1.5247476966904083,-1.04403393370344,-1.3602701736287504,0.8660254037844386,0.5000000000000001,-0.9068905225379338,-0.5740428033581556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,2016-03-30,21.419166666666666,0.6377682103649424,1.2152441941903958,-1.2224137852980317,-1.0461952264189869,-0.9692126462870088,0.8660254037844386,0.5000000000000001,-0.922368485808133,-0.5740428033581556,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,2016-03-31,21.676666666666662,0.7366596487959503,1.530292546592042,-1.0633903996206902,-1.089327111481421,-1.242360860150037,0.8660254037844386,0.5000000000000001,-0.9378464490783315,-0.5740428033581556,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,2016-04-01,22.050416666666667,0.7620282011967082,1.587291855194974,-1.0348299659244984,-1.1585354630031708,-0.9945506051409447,1.0,6.123233995736766e-17,-0.9533244123485307,-0.5740428033581556,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,2016-04-02,20.424166666666668,0.3960208286636053,0.7728930381355217,-0.9933757442004132,-1.2909851187667893,-0.9364489093927112,1.0,6.123233995736766e-17,-0.9688023756187293,-0.5740428033581556,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
65,2016-04-03,19.81125,0.10749659129118849,0.3359679032199651,-1.1737501337088887,-1.5493065828988857,-0.9661018473782086,1.0,6.123233995736766e-17,-0.9842803388889285,-0.5740428033581556,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
66,2016-04-04,22.750416666666663,0.45421927240651977,1.4360676025765797,-1.241731360192867,-1.5262371323916357,-1.2159692436011849,1.0,6.123233995736766e-17,-0.9997583021591271,-0.8277311925253166,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
67,2016-04-05,22.03125,0.37214454405112796,1.4723280323056749,-0.9157357302690177,-1.2188637205414774,-1.2545531849054956,1.0,6.123233995736766e-17,-1.0193783287501117,-0.06666602502383373,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
68,2016-04-06,20.667916666666667,0.3581975797222047,0.7608931836927992,-0.9955016017247253,-1.057189628493725,-0.8422719811375857,1.0,6.123233995736766e-17,-1.0389983553410955,-0.06666602502383373,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
69,2016-04-07,20.415000000000003,0.35997682208515414,0.47594881395833,-1.1467147717149204,-1.0281531307065963,-0.6816142697508444,1.0,6.123233995736766e-17,-1.0586183819320802,-0.06666602502383373,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
70,2016-04-08,21.77,0.4555393554499989,0.9024653794768296,-1.1747668481770377,-0.9860079227534329,-0.9298259181675236,1.0,6.123233995736766e-17,-1.0782384085230647,-0.06666602502383373,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
71,2016-04-09,21.451666666666668,0.1395229538242716,0.5783649629629555,-1.0244779640669786,-1.1693889112051554,-0.8431751163046562,1.0,6.123233995736766e-17,-1.097858435114049,-0.06666602502383373,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,2016-04-10,20.440416666666668,-0.07456007887895401,-0.013827853785390722,-1.0597856846881608,-1.2385032934784026,-0.6796073027129089,1.0,6.123233995736766e-17,-1.1174784617050328,-0.06666602502383373,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
73,2016-04-11,22.385,0.1880216569433666,0.77242347861385,-1.171947776242624,-0.9070737540117234,-0.8939012081884777,1.0,6.123233995736766e-17,-1.1370984882960171,-0.06666602502383373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
74,2016-04-12,22.2375,0.15243680968438575,0.8357357541192566,-0.956265666112966,-0.9881692154689797,-1.008599374406494,1.0,6.123233995736766e-17,-1.1530211772376537,-0.06666602502383373,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,2016-04-13,24.229583333333338,0.23376540414563846,1.1045324936362362,-0.9726255261913674,-1.1419029060183101,-0.9446774742482468,1.0,6.123233995736766e-17,-1.16894386617929,-0.06666602502383373,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
76,2016-04-14,22.6925,0.20684718904166674,1.0903413614257123,-0.7516749865449358,-1.1704225729386775,-0.9712697875008925,1.0,6.123233995736766e-17,-1.1848665551209268,-0.06666602502383373,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,2016-04-15,22.3025,0.2967276258280613,0.8800830422771432,-0.9221595171359602,-1.0176285748743679,-1.007144323303991,1.0,6.123233995736766e-17,-1.2007892440625632,-0.06666602502383373,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,2016-04-16,20.462083333333332,-0.13712053615684078,-0.2474858890972683,-0.9654160963263095,-1.0535248278021454,-0.9709687424452025,1.0,6.123233995736766e-17,-1.2167119330042,-0.06666602502383373,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79,2016-04-17,18.61375,-0.2327404644366192,-0.9599381166737662,-1.1695446329542716,-1.1675565108593657,-1.0129645277140038,1.0,6.123233995736766e-17,-1.2326346219458362,-0.06666602502383373,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
80,2016-04-18,20.6275,0.11593364378646308,-0.14131326391926888,-1.3745512411683625,-0.9482792694798654,-1.0590244212346251,1.0,6.123233995736766e-17,-1.2485573108874723,-0.06666602502383373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
81,2016-04-19,20.167083333333338,0.12460027594147281,-0.37948428796721356,-1.1511975582335783,-0.9649118264647258,-1.1821518490119707,1.0,6.123233995736766e-17,-1.2733379168219878,-0.06666602502383373,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
82,2016-04-20,21.64916666666667,0.0373026103271011,0.15910048339027535,-1.2022643531110737,-0.7402783379206093,-1.0527526492410761,1.0,6.123233995736766e-17,-1.2981185227565037,-0.06666602502383373,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
83,2016-04-21,21.297083333333333,-0.10044518551411658,0.1551614007362511,-1.0378801093289454,-0.9136046167826146,-1.0439219942741598,1.0,6.123233995736766e-17,-1.3228991286910192,-0.06666602502383373,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
84,2016-04-22,21.619583333333335,0.0013159986635829862,0.22379535082060414,-1.0769311877646777,-0.9575822250815673,-1.0462300063677856,1.0,6.123233995736766e-17,-1.347679734625535,-0.06666602502383373,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85,2016-04-23,21.706666666666667,-0.06135924844417106,0.0344063437463346,-1.0411613242034272,-1.165113310398313,-1.092289899888406,1.0,6.123233995736766e-17,-1.3724603405600504,-0.06666602502383373,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,2016-04-24,21.47125,-0.14699246152546117,-0.07200106119250069,-1.0315025367560096,-1.373537103575828,-1.1661964610603834,1.0,6.123233995736766e-17,-1.3972409464945659,-0.06666602502383373,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
87,2016-04-25,24.32875,0.35429472550670393,0.9200477748994269,-1.057613612869842,-1.1464604145706587,-1.3076374630588907,1.0,6.123233995736766e-17,-1.4220215524290811,-0.06666602502383373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
88,2016-04-26,24.133750000000003,0.309813666432977,0.8744222413769892,-0.7406759845713219,-1.1983784243680329,-1.5834950824231322,1.0,6.123233995736766e-17,-1.4235751206592293,-0.06666602502383373,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
89,2016-04-27,24.142083333333332,0.206904583956601,0.8520399041773028,-0.7623042741664962,-1.0312541159071629,-1.558859562032473,1.0,6.123233995736766e-17,-1.4251286888893766,-1.3351079708596385,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,2016-04-28,25.643333333333334,0.3138313104783462,1.0343855184264963,-0.7613799882863609,-1.0709561233992733,-1.2306201029781143,1.0,6.123233995736766e-17,-1.4266822571195241,-1.3351079708596385,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
91,2016-04-29,22.500416666666663,0.3134295460738089,0.3429330361247626,-0.5948698869799202,-1.0345900242289852,-1.0579707635397086,1.0,6.123233995736766e-17,-1.4282358253496723,-1.3351079708596385,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,2016-04-30,22.590833333333332,0.10611911333277632,0.31765508187476715,-0.9434643066730877,-1.0247702377605226,-1.0269631228036047,1.0,6.123233995736766e-17,-1.4297893935798198,-1.3351079708596385,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
93,2016-05-01,21.70875,-0.2725151404857708,-0.3746582595500319,-0.9334358048736153,-1.0513165504623476,-0.9819568869778995,0.8660254037844387,-0.4999999999999998,-1.4313429618099671,-1.3351079708596385,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
